Cause of death,Number of pregnancy- associated deaths,Percentage of pregnancy-associated deaths
Suicide,16,17.0%
Drug overdose,13,13.8%
Injury (including motor vehicle crash),10,10.6%
Homicide,8,8.5%
Cardiac conditions,7,7.4%
"All other obstetric complications (hypertensive disorders of pregnancy, ruptured ectopic pregnancy, uterine rupture, amniotic fluid embolism)",7,7.4%
Sepsis/infection,6,6.4%
Cerebrovascular accident (stroke),5,5.3%
Thrombotic pulmonary embolism,5,5.3%
"All other non-obstetric medical causes of death (e.g. cancer, respiratory conditions)",17,18.1%
,,
