X,Y,OBJECTID,Provider_Name,Provider_Name2,Address,Address2,City,State,Zip,County,Phone,Website_URL,Date_Last_Update,Type_,Detoxification,Mental_Health,Substance_Abuse,Transitional_Housing,Opiod_Treatment_Settings,SAMHSA_Cert_Opioid_Treatment_Program,Buprenorphine_Maintenance,Buprenorphine_Maintenance_for_Predetermined_Time,Buprenorphine_Detoxification,Buprenorphine_used_in_Treatment,Naltrexone_used_in_Treatment,Methadone_Maintenance,Methadone_Maintenance_for_Predetermined_time,Methadone_Detoxification,Prescribes_administers_Buprenorphine,Prescribes_administers_Naltrexone,Relapse_prevention_from_Naltrexone,Use_methadone_buprenorphine_for_pain_mgmt_emergency,Accepts_clients_on_opioid_medication,Do_not_use_medication_for_Opioid_Addiction,Does_not_treat_Opioid_Addiction,Facility_Type,Age_Groups_Served,Date_Data_Published_CDPHE,Directions,LATITUDE,LONGITUDE
-105.0973233,39.578575,1,Shiloh House,Estes,7623 South Estes Court,,Littleton,CO,80128,Jefferson,303-932-9599,http://shilohhouse.org/,2018/03/06 16:18:03.140,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=7623 South Estes Court, Littleton, CO 80128",39.578575,-105.0973233
-105.0856309,39.5863592,2,Shiloh House,Yarrow,7227 South Yarrow Court,,Littleton,CO,80128,Jefferson,303-932-9599,http://shilohhouse.org/,2018/03/06 16:18:04.755,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=7227 South Yarrow Court, Littleton, CO 80128",39.5863592,-105.0856309
-105.0708277,39.5904181,3,Shiloh Home Inc,Portland,6629 West Portland Avenue,,Littleton,CO,80128,Jefferson,303-973-9677,http://www.shilohhouse.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=6629 West Portland Avenue, Littleton, CO 80128",39.5904181,-105.0708277
-105.043408,39.759405,4,Tennyson Center for Children at,Colorado Christian Home,2950 Tennyson Street,,Denver,CO,80212,Denver,303-433-2541,http://www.tennysoncenter.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=2950 Tennyson Street, Denver, CO 80212",39.759405,-105.043408
-105.0353685,39.7744566,5,Mount Saint Vincent Home,,4159 Lowell Boulevard,,Denver,CO,80211,Denver,303-458-7220 x238,http://www.msvhome.org,2017/06/15 09:36:46.575,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=4159 Lowell Boulevard, Denver, CO 80211",39.7744566,-105.0353685
-104.99225,39.850175,6,Shiloh Home Inc,Sanctuary,8461 Delaware Street,,Denver,CO,80260,Adams,303-933-1393,http://www.shilohhouse.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=8461 Delaware Street, Denver, CO 80260",39.850175,-104.99225
-104.8762016,39.5862271,7,Shiloh Home Inc,FRP,9700 East Easter Lane,,Englewood,CO,80112,Arapahoe,720-213-1399,http://shilohhouse.org/,2018/03/06 16:18:05.478,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=9700 East Easter Lane, Englewood, CO 80112",39.5862271,-104.8762016
-104.83093,39.694392,8,Jefferson Hills,Aurora,1290 South Potomac Street,,Aurora,CO,80012,Arapahoe,303-745-1281,http://www.jeffersonhills.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=1290 South Potomac Street, Aurora, CO 80012",39.694392,-104.83093
-105.0413581,40.1611476,9,Shiloh House,Longmont Campus,2700 East Ken Pratt Boulevard,,Longmont,CO,80504,Boulder,303-772-3138,http://shilohhouse.org/,2018/03/06 16:18:04.052,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=2700 East Ken Pratt Boulevard, Longmont, CO 80504",40.1611476,-105.0413581
-105.074887,40.568121,10,Remington House,,1516 Remington Street,,Fort Collins,CO,80524,Larimer,970-484-7447,http://www.jacobcenter.org,2017/02/27 11:25:37,Mental health treatment,,Mental health treatment    ,,,n/a,,,,,,,,,,,,,,,,,Residential treatment center (RTC) for children ,Children and Adolescents,October 2018,"https://maps.google.com/?q=1516 Remington Street, Fort Collins, CO 80524",40.568121,-105.074887
